Nightlight state transitions between START and END (which are both variables containing the actual time values):
Timestamp,UserFriendlyTime,Serial,State
-------------------------------------------
1409617949762,2018-05-02T00:50:42Z,31a63,1
1409617953362,2018-05-02T00:50:42Z,31a63,0
1409618021761,2018-05-02T00:50:42Z,31a63,1
1409618327543,2018-05-02T01:09:08Z,33ae7,1
1409618328150,2018-05-02T01:09:08Z,33ae7,0
1409616450323,2018-05-02T01:23:23Z,22a72,0
1409617654640,2018-05-02T01:23:23Z,22a72,1
1409617666284,2018-05-02T01:23:23Z,22a72,0
1409617669640,2018-05-02T01:23:23Z,22a72,1
1409617682285,2018-05-02T01:23:23Z,22a72,0
1409617704639,2018-05-02T01:23:23Z,22a72,1
1409617723283,2018-05-02T01:23:23Z,22a72,0
1409620861540,2018-05-02T01:23:23Z,22a72,1
1409620872184,2018-05-02T01:23:23Z,22a72,0
1409620906538,2018-05-02T01:23:23Z,22a72,1
1409620919186,2018-05-02T01:23:23Z,22a72,0
1409620979536,2018-05-02T01:23:23Z,22a72,1
1409620995188,2018-05-02T01:23:23Z,22a72,0
1409616088167,2018-05-02T01:27:31Z,22e1e,0
1409616092518,2018-05-02T01:27:31Z,22e1e,1
1409616103168,2018-05-02T01:27:31Z,22e1e,0
1409616113516,2018-05-02T01:27:31Z,22e1e,1
1409616124169,2018-05-02T01:27:31Z,22e1e,0
1409616719506,2018-05-02T01:27:31Z,22e1e,1
1409616752159,2018-05-02T01:27:31Z,22e1e,0
1409616768505,2018-05-02T01:27:31Z,22e1e,1
Write a function which calculates the total time that each of the unique night lights spent being on. It will have as input the data presented above (you may assume the format of how it shall be passed in)



